identifier,frequency,startdate,splitgift,donor,motivation_1,recipient_support_1,recipient_keymin_1,recipient_field_1,amount_1,motivation_2,recipient_support_2,recipient_keymin_2,recipient_field_2,amount_2,motivation_3,recipient_support_3,recipient_keymin_3,recipient_field_3,amount_3
70,monthly,2012-03-23T00:00:00,1,697,SUPPORT,11,17,14,25,KEYMIN,44,45,11,431,SUPPORT,62,44,15,462
71,quarterly,2012-09-01T00:00:00,1,36,SUPPORT,62,8,5,190,KEYMIN,199,11,17,104,SUPPORT,199,38,18,270
72,monthly,2012-12-02T00:00:00,3,514,SUPPORT,1,20,2,143,SUPPORT,186,31,4,215,SUPPORT,149,23,6,129
73,once,2012-08-12T00:00:00,1,486,KEYMIN,10,12,4,302,KEYMIN,14,29,13,342,SUPPORT,93,13,3,67
74,quarterly,2012-02-10T00:00:00,1,672,SUPPORT,137,12,19,403,SUPPORT,101,12,15,255,SUPPORT,185,42,17,214
75,once,2012-08-22T00:00:00,1,173,SUPPORT,151,34,1,9,KEYMIN,138,29,1,308,FIELD,113,22,3,326
76,once,2012-12-18T00:00:00,1,8,SUPPORT,32,16,3,443,SUPPORT,7,1,4,191,SUPPORT,4,38,9,202
77,monthly,2012-09-19T00:00:00,2,917,SUPPORT,160,15,9,222,SUPPORT,189,41,15,309,SUPPORT,150,42,6,125
78,quarterly,2012-02-10T00:00:00,3,983,SUPPORT,19,21,14,331,SUPPORT,112,50,9,496,SUPPORT,151,43,6,158
79,once,2012-07-31T00:00:00,1,752,KEYMIN,67,45,19,130,FIELD,117,13,15,158,SUPPORT,70,17,3,19
80,quarterly,2012-09-05T00:00:00,2,199,SUPPORT,115,19,16,336,KEYMIN,145,26,16,292,KEYMIN,199,37,18,379
81,monthly,2012-10-19T00:00:00,1,489,FIELD,151,1,10,210,KEYMIN,125,20,17,223,KEYMIN,12,3,20,320
82,once,2012-02-02T00:00:00,3,551,SUPPORT,66,40,16,145,SUPPORT,30,40,8,453,FIELD,18,9,15,13
83,monthly,2012-10-05T00:00:00,3,102,FIELD,177,36,9,104,FIELD,1,23,18,240,SUPPORT,42,44,19,308
84,once,2012-03-25T00:00:00,2,373,SUPPORT,139,37,1,352,SUPPORT,76,26,1,161,SUPPORT,164,46,2,359
85,once,2012-09-17T00:00:00,1,218,SUPPORT,57,28,13,210,SUPPORT,144,27,6,381,SUPPORT,110,36,20,251
86,monthly,2012-06-19T00:00:00,1,785,SUPPORT,143,27,16,277,SUPPORT,158,18,12,330,SUPPORT,110,1,13,422
87,once,2012-07-09T00:00:00,1,906,SUPPORT,6,48,12,86,SUPPORT,47,36,10,147,FIELD,55,20,9,375
88,quarterly,2012-05-28T00:00:00,1,226,KEYMIN,38,50,1,458,SUPPORT,153,22,9,275,SUPPORT,101,16,17,396
89,monthly,2012-01-07T00:00:00,2,301,SUPPORT,179,14,15,121,SUPPORT,8,13,16,163,SUPPORT,38,37,1,388
90,once,2012-11-20T00:00:00,1,101,SUPPORT,88,4,5,127,FIELD,71,21,13,226,FIELD,78,37,20,146
91,once,2012-04-28T00:00:00,3,620,SUPPORT,157,12,16,492,SUPPORT,16,46,3,201,FIELD,46,11,17,216
92,monthly,2012-11-28T00:00:00,1,526,SUPPORT,114,7,15,68,SUPPORT,20,41,18,82,SUPPORT,83,24,7,28
93,monthly,2012-05-22T00:00:00,1,839,SUPPORT,35,36,4,415,KEYMIN,131,17,17,170,SUPPORT,148,35,17,20
94,monthly,2012-12-30T00:00:00,2,792,SUPPORT,3,22,8,496,FIELD,189,3,7,356,FIELD,140,23,12,418
95,monthly,2012-01-25T00:00:00,3,921,SUPPORT,51,31,20,112,SUPPORT,116,28,13,278,SUPPORT,74,24,7,186
96,monthly,2012-02-10T00:00:00,1,203,SUPPORT,56,47,1,361,SUPPORT,161,12,16,115,KEYMIN,77,3,5,302
97,once,2012-12-28T00:00:00,1,703,FIELD,199,24,16,436,FIELD,118,9,5,462,SUPPORT,22,9,7,162
98,monthly,2012-08-02T00:00:00,1,98,SUPPORT,82,5,16,73,SUPPORT,103,23,17,151,SUPPORT,22,14,14,484
99,quarterly,2012-12-28T00:00:00,1,258,KEYMIN,20,37,19,438,SUPPORT,136,26,20,400,SUPPORT,16,49,17,106
100,once,2012-05-22T00:00:00,2,955,SUPPORT,48,2,19,278,SUPPORT,121,12,5,77,SUPPORT,41,7,8,390
101,monthly,2012-10-09T00:00:00,2,153,SUPPORT,119,17,11,144,FIELD,68,44,17,232,KEYMIN,163,20,9,34
102,once,2012-03-27T00:00:00,2,630,SUPPORT,182,47,13,185,SUPPORT,136,1,20,443,SUPPORT,167,47,9,101
103,monthly,2012-02-20T00:00:00,2,651,FIELD,56,46,8,174,FIELD,34,46,6,408,FIELD,156,27,7,50
104,once,2012-07-27T00:00:00,2,668,SUPPORT,151,32,1,112,FIELD,31,47,7,410,SUPPORT,9,5,7,321
105,quarterly,2012-12-26T00:00:00,1,321,SUPPORT,110,4,16,137,KEYMIN,175,34,11,446,KEYMIN,113,35,5,447
106,monthly,2012-11-22T00:00:00,1,370,KEYMIN,63,27,9,251,SUPPORT,20,21,6,202,SUPPORT,42,21,4,119
107,once,2012-10-21T00:00:00,1,13,KEYMIN,177,23,7,445,SUPPORT,175,34,7,408,SUPPORT,54,30,16,106
108,monthly,2012-03-17T00:00:00,3,75,KEYMIN,81,50,20,185,SUPPORT,103,26,15,496,KEYMIN,152,3,20,436
109,once,2012-07-09T00:00:00,2,590,KEYMIN,29,40,16,84,SUPPORT,80,44,16,88,SUPPORT,115,34,9,310
110,monthly,2012-01-09T00:00:00,1,336,SUPPORT,60,35,1,463,KEYMIN,29,32,8,447,SUPPORT,117,33,14,450
111,once,2012-08-04T00:00:00,2,510,SUPPORT,49,30,1,158,KEYMIN,97,42,8,365,SUPPORT,36,43,18,150
112,monthly,2012-06-09T00:00:00,2,408,SUPPORT,132,18,14,323,SUPPORT,161,25,19,80,FIELD,93,10,12,54
113,monthly,2012-05-22T00:00:00,2,176,FIELD,152,29,13,367,SUPPORT,163,37,14,308,KEYMIN,95,7,4,485
114,once,2012-10-09T00:00:00,2,486,FIELD,55,31,15,473,SUPPORT,39,17,4,309,SUPPORT,108,50,6,257
115,monthly,2012-10-21T00:00:00,1,800,KEYMIN,135,39,10,234,SUPPORT,129,12,11,231,SUPPORT,41,35,20,268
116,monthly,2012-04-08T00:00:00,1,633,FIELD,161,43,7,500,KEYMIN,58,4,7,143,FIELD,184,6,19,124
117,monthly,2012-02-06T00:00:00,2,876,FIELD,164,22,4,62,KEYMIN,157,4,15,253,KEYMIN,38,49,18,101
118,monthly,2012-08-08T00:00:00,1,580,KEYMIN,60,36,1,88,SUPPORT,121,3,11,18,FIELD,188,34,10,485
119,monthly,2012-08-20T00:00:00,1,624,SUPPORT,35,17,13,69,FIELD,132,30,17,208,SUPPORT,167,45,2,180
120,once,2012-01-27T00:00:00,2,192,SUPPORT,82,34,10,397,FIELD,91,22,4,435,FIELD,19,9,18,436
121,once,2012-07-13T00:00:00,1,22,SUPPORT,49,39,8,388,FIELD,184,28,9,120,FIELD,172,39,4,499
122,once,2012-01-17T00:00:00,1,300,SUPPORT,18,10,11,168,FIELD,76,32,10,229,SUPPORT,138,11,18,366
123,once,2012-04-12T00:00:00,2,457,SUPPORT,66,23,7,235,SUPPORT,20,42,12,459,KEYMIN,16,47,10,405
124,monthly,2012-02-26T00:00:00,3,153,SUPPORT,15,9,8,404,KEYMIN,190,26,18,320,SUPPORT,116,28,8,69
125,once,2012-07-31T00:00:00,1,774,FIELD,53,4,15,261,SUPPORT,71,19,19,80,KEYMIN,131,5,5,372
126,monthly,2012-10-03T00:00:00,1,311,SUPPORT,9,25,16,203,SUPPORT,145,29,15,94,SUPPORT,139,31,14,298
127,monthly,2012-12-22T00:00:00,1,138,FIELD,107,27,3,155,SUPPORT,92,29,7,270,SUPPORT,27,8,14,445
128,monthly,2012-07-31T00:00:00,2,270,KEYMIN,89,15,20,73,SUPPORT,62,29,6,83,SUPPORT,114,31,14,21
129,monthly,2012-02-18T00:00:00,2,47,SUPPORT,169,27,7,457,KEYMIN,190,33,16,452,KEYMIN,27,27,8,122
130,once,2012-06-03T00:00:00,1,948,FIELD,53,39,10,292,KEYMIN,117,8,2,349,SUPPORT,190,36,8,349
131,once,2012-10-25T00:00:00,3,43,KEYMIN,44,43,13,162,KEYMIN,130,40,12,97,SUPPORT,124,35,1,368
132,quarterly,2012-10-11T00:00:00,1,741,FIELD,60,29,15,40,SUPPORT,175,3,18,430,SUPPORT,196,49,14,460
133,once,2012-10-17T00:00:00,2,108,SUPPORT,103,47,17,419,SUPPORT,77,50,18,462,SUPPORT,45,43,19,178
134,monthly,2012-05-12T00:00:00,1,395,SUPPORT,147,9,6,181,SUPPORT,88,36,20,174,SUPPORT,152,39,2,195
135,monthly,2012-11-08T00:00:00,3,326,KEYMIN,134,26,1,107,FIELD,7,31,9,248,FIELD,156,25,3,149
136,once,2012-04-12T00:00:00,1,245,SUPPORT,175,34,6,442,KEYMIN,46,20,4,357,SUPPORT,57,33,1,248
137,monthly,2012-01-03T00:00:00,2,989,SUPPORT,156,31,12,355,FIELD,69,29,6,277,SUPPORT,48,45,11,112
138,monthly,2012-08-24T00:00:00,2,84,KEYMIN,59,17,1,59,SUPPORT,167,23,19,387,SUPPORT,111,34,7,307
139,monthly,2012-02-26T00:00:00,2,877,FIELD,95,47,2,325,SUPPORT,49,33,2,350,SUPPORT,107,39,11,190
140,monthly,2012-04-04T00:00:00,2,652,FIELD,54,3,14,50,SUPPORT,81,8,17,184,SUPPORT,83,11,8,241
141,once,2012-12-10T00:00:00,3,154,SUPPORT,42,20,1,488,SUPPORT,2,24,6,470,SUPPORT,195,29,4,12
142,once,2012-10-25T00:00:00,1,49,SUPPORT,69,48,20,407,FIELD,181,15,3,274,FIELD,74,29,12,181
143,quarterly,2012-03-25T00:00:00,3,903,KEYMIN,162,17,7,358,FIELD,75,4,13,292,SUPPORT,156,1,2,70
144,monthly,2012-01-09T00:00:00,1,677,FIELD,195,38,11,293,SUPPORT,17,49,20,146,KEYMIN,182,35,14,335
145,once,2012-05-26T00:00:00,1,318,SUPPORT,17,9,1,154,SUPPORT,51,30,14,112,KEYMIN,123,20,11,158
146,monthly,2012-09-29T00:00:00,1,643,KEYMIN,143,48,18,78,FIELD,169,27,16,288,KEYMIN,152,4,9,293
147,monthly,2012-11-02T00:00:00,3,472,FIELD,111,37,14,95,SUPPORT,155,7,3,25,SUPPORT,160,29,5,48
148,quarterly,2012-07-23T00:00:00,1,71,SUPPORT,58,36,20,314,KEYMIN,70,22,9,129,SUPPORT,161,29,16,457
149,quarterly,2012-01-17T00:00:00,3,926,KEYMIN,167,7,8,199,SUPPORT,119,33,3,414,SUPPORT,175,17,14,344
150,monthly,2012-06-09T00:00:00,2,171,SUPPORT,191,45,5,276,SUPPORT,20,27,17,253,FIELD,166,19,13,489
151,monthly,2012-07-19T00:00:00,1,240,SUPPORT,97,14,11,479,SUPPORT,86,20,6,442,SUPPORT,13,22,19,220
152,once,2012-06-15T00:00:00,1,521,SUPPORT,91,11,13,420,SUPPORT,164,35,14,23,KEYMIN,35,31,16,321
153,monthly,2012-08-24T00:00:00,1,531,SUPPORT,93,40,16,140,FIELD,65,7,12,9,FIELD,163,12,3,196
154,monthly,2012-09-09T00:00:00,2,439,FIELD,69,21,14,437,SUPPORT,82,30,4,18,SUPPORT,94,42,14,128
155,once,2012-05-20T00:00:00,2,594,SUPPORT,79,3,4,27,SUPPORT,64,30,11,124,FIELD,143,18,9,317
156,quarterly,2012-06-09T00:00:00,3,957,SUPPORT,131,12,13,476,FIELD,38,21,12,96,FIELD,177,30,13,349
157,once,2012-03-09T00:00:00,1,133,SUPPORT,116,32,8,21,SUPPORT,62,40,10,253,KEYMIN,177,43,13,381
158,monthly,2012-04-14T00:00:00,1,736,SUPPORT,147,39,17,21,KEYMIN,83,29,18,120,SUPPORT,45,45,9,365
159,once,2012-04-16T00:00:00,2,673,KEYMIN,106,31,6,462,FIELD,143,37,13,425,SUPPORT,95,33,10,169
160,monthly,2012-05-24T00:00:00,2,458,FIELD,165,34,10,243,SUPPORT,40,16,14,373,FIELD,85,50,14,55
161,once,2012-05-04T00:00:00,3,665,SUPPORT,71,38,19,184,FIELD,93,3,19,315,FIELD,102,6,3,82
162,once,2012-12-06T00:00:00,2,137,SUPPORT,184,40,20,330,SUPPORT,193,34,18,411,FIELD,156,47,9,36
163,once,2012-08-08T00:00:00,3,911,SUPPORT,41,12,5,142,FIELD,82,37,10,56,SUPPORT,123,8,14,128
164,monthly,2012-06-01T00:00:00,1,358,SUPPORT,54,16,7,375,SUPPORT,40,44,11,32,SUPPORT,49,8,15,151
165,quarterly,2012-10-09T00:00:00,3,541,SUPPORT,99,11,15,463,FIELD,78,15,7,112,SUPPORT,43,14,19,423
166,once,2012-11-14T00:00:00,2,594,SUPPORT,26,25,2,407,SUPPORT,101,19,1,431,SUPPORT,26,37,1,290
167,monthly,2012-03-09T00:00:00,3,423,FIELD,1,6,11,111,SUPPORT,180,50,2,33,SUPPORT,31,34,6,81
168,monthly,2012-01-17T00:00:00,1,52,KEYMIN,160,27,17,53,KEYMIN,199,5,13,368,SUPPORT,5,30,17,480
169,once,2012-08-10T00:00:00,1,194,KEYMIN,68,35,7,69,FIELD,191,19,2,357,SUPPORT,107,17,17,14
170,once,2012-02-02T00:00:00,1,533,FIELD,99,28,18,299,KEYMIN,85,2,4,353,SUPPORT,136,2,16,194
171,quarterly,2012-05-08T00:00:00,2,357,SUPPORT,193,33,2,171,FIELD,150,10,10,112,KEYMIN,50,40,12,168
172,once,2012-12-28T00:00:00,2,378,KEYMIN,168,30,17,303,KEYMIN,172,29,6,207,KEYMIN,167,29,9,282
173,once,2012-01-07T00:00:00,2,121,SUPPORT,41,18,12,451,SUPPORT,132,47,4,296,SUPPORT,101,10,3,278
174,once,2012-08-22T00:00:00,2,249,SUPPORT,102,20,12,202,KEYMIN,200,6,5,209,SUPPORT,166,30,1,222
175,monthly,2012-04-10T00:00:00,1,955,SUPPORT,181,12,5,194,KEYMIN,188,50,10,312,FIELD,107,13,16,476
176,monthly,2012-08-30T00:00:00,1,502,KEYMIN,50,46,8,30,SUPPORT,18,8,17,210,SUPPORT,153,11,19,351
177,quarterly,2012-12-26T00:00:00,3,738,FIELD,3,1,18,123,SUPPORT,182,39,18,489,SUPPORT,34,33,9,467
178,once,2012-05-30T00:00:00,1,429,SUPPORT,34,47,9,346,SUPPORT,37,15,2,78,FIELD,70,50,3,195
179,once,2012-07-17T00:00:00,2,822,SUPPORT,177,46,13,175,SUPPORT,23,15,18,348,KEYMIN,62,24,15,424
180,once,2012-03-03T00:00:00,1,409,SUPPORT,172,48,4,346,FIELD,34,40,8,449,SUPPORT,40,19,14,24
181,monthly,2012-01-03T00:00:00,2,394,SUPPORT,161,47,3,436,SUPPORT,142,29,13,184,SUPPORT,161,26,16,270
182,once,2012-09-11T00:00:00,2,63,FIELD,47,6,11,449,SUPPORT,40,40,12,466,FIELD,22,18,10,218
183,quarterly,2012-04-24T00:00:00,1,888,SUPPORT,23,7,16,10,SUPPORT,181,41,9,472,SUPPORT,161,21,14,233
184,monthly,2012-02-26T00:00:00,2,484,SUPPORT,153,37,10,120,KEYMIN,12,27,20,391,KEYMIN,178,20,4,313
185,monthly,2012-12-14T00:00:00,1,396,SUPPORT,87,16,3,247,KEYMIN,19,5,8,382,SUPPORT,136,7,8,61
186,monthly,2012-04-10T00:00:00,1,677,FIELD,192,10,7,270,FIELD,159,14,19,495,KEYMIN,18,34,6,19
187,quarterly,2012-06-21T00:00:00,1,456,SUPPORT,100,46,5,21,SUPPORT,12,50,18,85,SUPPORT,4,9,19,247
188,once,2012-06-17T00:00:00,1,258,KEYMIN,48,44,16,372,SUPPORT,66,14,9,427,KEYMIN,89,13,19,299
189,once,2012-04-24T00:00:00,2,187,SUPPORT,56,8,20,489,FIELD,128,2,14,201,SUPPORT,78,8,1,423
190,monthly,2012-03-09T00:00:00,1,396,FIELD,56,36,6,311,KEYMIN,4,34,6,330,SUPPORT,98,32,7,275
191,monthly,2012-08-28T00:00:00,2,183,SUPPORT,192,6,16,481,FIELD,173,9,7,174,SUPPORT,80,25,11,183
192,monthly,2012-10-11T00:00:00,2,126,KEYMIN,117,6,13,208,SUPPORT,21,22,15,48,SUPPORT,190,26,18,330
193,monthly,2012-07-27T00:00:00,1,853,SUPPORT,58,17,20,265,SUPPORT,82,44,1,77,SUPPORT,135,37,14,288
194,monthly,2012-10-13T00:00:00,1,791,SUPPORT,161,37,17,322,KEYMIN,196,46,12,39,SUPPORT,104,41,5,127
195,quarterly,2012-10-27T00:00:00,1,133,SUPPORT,61,5,8,416,SUPPORT,64,8,16,317,SUPPORT,110,37,3,496
196,once,2012-09-05T00:00:00,1,191,SUPPORT,46,7,10,125,KEYMIN,149,38,5,426,SUPPORT,192,10,10,496
197,quarterly,2012-03-13T00:00:00,2,427,SUPPORT,97,8,10,204,SUPPORT,170,1,5,136,SUPPORT,15,43,4,252
198,monthly,2012-02-06T00:00:00,1,626,SUPPORT,10,41,8,198,KEYMIN,70,42,12,374,SUPPORT,109,44,18,442
199,quarterly,2012-08-28T00:00:00,1,637,SUPPORT,58,28,4,417,FIELD,123,34,5,427,SUPPORT,139,38,4,76
200,monthly,2012-07-21T00:00:00,3,217,FIELD,105,35,14,184,SUPPORT,130,45,2,450,FIELD,158,12,6,16
201,quarterly,2012-08-30T00:00:00,3,822,SUPPORT,22,18,17,327,FIELD,62,32,17,21,SUPPORT,146,43,1,449
202,once,2012-02-12T00:00:00,1,487,SUPPORT,63,45,5,211,KEYMIN,111,48,18,92,SUPPORT,165,28,6,429
203,once,2012-11-10T00:00:00,2,85,SUPPORT,167,11,3,103,SUPPORT,31,34,7,230,SUPPORT,99,47,8,465
204,quarterly,2012-09-15T00:00:00,1,957,SUPPORT,13,44,9,199,SUPPORT,160,45,12,381,SUPPORT,161,40,14,245
205,monthly,2012-07-29T00:00:00,1,653,SUPPORT,65,20,14,253,KEYMIN,6,1,11,84,FIELD,178,50,18,285
206,once,2012-09-01T00:00:00,1,295,SUPPORT,198,43,17,111,SUPPORT,14,18,11,228,SUPPORT,66,39,10,6
207,once,2012-09-27T00:00:00,2,162,FIELD,59,44,19,138,SUPPORT,165,44,4,468,SUPPORT,35,20,15,208
